뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
4100058.202502281,20250228,노컷뉴스,"울산CBS 이상록 기자
이상록","울산시교육청, AI 교수학습 도구 '우리아이' 3월부터 운영",사회>교육_시험, IT_과학>콘텐츠, IT_과학>모바일,,,,"천창수,울산교육감",울산,"행정안전부,국가정보원,울산시교육청,시교육청,한국지능정보사회진흥원,한국교육학술정보원,울산교육청","울산시교육청,AI,교수,학습,도구,아이,3월,운영,울산시교육청,제공,울산시교육청,인공지능,AI,서비스,교수,학습,지원,아이,AI,교수,학습,서비스,아이,정식,운영,28일,아이,전국,현직,교사,참여,울산,AI,교수,학습,도구,학생,개개인,학습,수준,경험,맞춤,학습,제공,교사,생각,수업,설계,지원,울산교육청,서비스,행정안전부,사전,심사,검토,국가,정보원,보안,한국교육학술정보원,한국,지능,정보,사회,진흥원,전문가,자문,서비스,학생들,수준별,학습,교사들,효과적,교수법,제공,기획,아이,국어,수학,사회,과학,영어,교과,질문,모형,수업,제공,생성,인공,지능,활용,질문,사람,대답,도구,학생들,즉시,답변,제공,도움,교육과정,개정,교육,교과서,학습,데이터,설계,신뢰,답변,제공,교사들,의견,반영,지속적,업데이트,계획,초등학생,고등학생,자유,이용,접근성,로그인,학습자료,무료,제공,학교,현장,적극,활용,시교육청,교사들,활용,지도안,교수,학습,아이,홈페이지,공유,교과,예체능,융합,수업,활용,방안,적용,계획,아이,서비스,전용,홈페이지,wooriai.use.go.kr,이용,천창수,울산,교육감,학생들,맞춤,학습,지원,교사들,수업,혁신,안전,효과적,환경,디지털,교육,구축,미래교육,선도","ai,교사들,인공지능,홈페이지,울산,울산시교육청,학생들,한국교육학술정보원,천창수,행정안전부,지도안,정보원,전문가","울산시교육청 제공 
울산시교육청은 3월 1일부터 인공지능(AI) 기반 교수학습 지원 서비스인 '우리아이(AI) 교수학습 서비스(이하 우리아이)'를 정식 운영한다고 28일 밝혔다. 
  
우리아이는 전국 최초 현직 교사가 직접 개발에 참여한 울산형 AI 교수학습 도구다. 
  
학생 개개인의 학습 수준과 필요에 맞는 맞춤형 학습 경험을 제공하고, 교사에게..",,
4101008.202502281,20250228,이데일리,김세연,"“교수님이 아니라고요?” 딥브레인AI, ‘AI 교수’ 제작 지원",IT_과학>인터넷_SNS, IT_과학>콘텐츠, IT_과학>모바일,,,,"손흥민,맨델,장세영","캐나다,베트남,러시아","사이버대학교 강의,딥브레인AI,교육부,에듀테크","교수님,딥브레인AI,AI,교수,제작,지원,실제,교수,외모,목소리,묘사,AI,교수,AI,스튜디오스,활용,AI,교수,강의,제작,자유,언어,구사,외국인,해소,학생,언어,장벽,해소,사이버,대학교,강의,실제,교수,모습,수업,인공지능,AI,교수,등장,딥브레인AI,AI스튜디오스,AI,영상,합성,플랫폼,AI,스튜디오스,사진,딥브레인AI,생성형,인공지능,AI,딥브레인AI,전문,기업,딥브레인,AI,사이버,혁신,교육,프로그램,인공지능,AI,교수,제작,무상,지원,28일,AI,교수,딥러닝,영상,합성,실제,교수,외모,목소리,움직임,자연,묘사,AI,휴먼,별도,촬영,영상,음성,데이터,제작,특징,AI,교수,활용,강의,서비스,소프트웨어,SaaS,AI,영상,합성,플랫폼,AI,스튜디오스,제작,문장,입력,영상,텍스트,비디오,텍스트,탑재,스크립트,명령어,URL,문서,업로드,음악,배경,영상,요소,자동,구성,강의,콘텐츠,제작,촬영,제반,시설,비용,획기적,절감,TTS,AI,음성,합성,영어,러시아어,베트남어,50여개,언어,모양,자연,구사,교육부,외국인,근로자,학생,지원,바탕,사이버대,외국인,학생,수요,확대,추진,만큼,AI,교수,언어장벽,해결,효과적,솔루션,전망,이외,딥브레인AI,온라인,교육,기관,AI,강사,지원,무상,제작,임직원,학생,대상,사용법,AI,스튜디오스,교육,AI,윤리,구성원들,역량,AI,활용,동시,AI,AI,디지털,범죄,가치관,정립,계획,대표,장세영,딥브레인,AI,AI,교수,비용,절감,강의,제작,노력,실제,학생,소통,집중,전반적,향상,교육,품질,딥브레인AI,온라인,교육,교육,기관,AI,교수,강사,제작,무상,지원,교육,환경,디지털전환,고도화,에듀테크,산업,고도,딥브레인AI,이외,AI,교수,축구,선수,손흥민,배우,맨델,캐나다,출신,배우,MC,하위,유명인사,다수,유명,인사,AI,휴먼,제작,입증","ai,딥브레인ai,외국인,스튜디오스,손흥민,인공지능,장세영,50여개,딥브레인,언어장벽","[이데일리 김세연 기자] 사이버대학교 강의에서 실제 교수의 모습으로 수업하는 인공지능(AI) 교수가 등장한다.

딥브레인AI의 AI 영상 합성 플랫폼 ‘AI스튜디오스’.(사진=딥브레인AI)생성형 인공지능(AI) 전문 기업 딥브레인AI는 국내 사이버대학교의 교육 프로그램 혁신을 돕기 위해 ‘인공지능(AI) 교수’ 제작을 무상 지원한다고 28일 밝혔다. A..",http://www.edaily.co.kr/news/newspath.asp?newsid=03014326642075112,
2100101.20250228,20250228,매일경제,김규식 기자(dorabono@mk.co.kr),"“선생님이 꼭 필요한가요?” 요즘 학생들, 수학문제 막히면 카메라부터 ‘찰칵’",IT_과학>콘텐츠, IT_과학>모바일,,,,,"김서준,유병우","스페인,포르투갈,일본,원천,서울,강남구,태국,브라질,대치동,인도네시아,한국,베트남","구글,매스프레소,애플,한국교육방송공사,EBS,KT,삼일PwC경영연구원,LG전자,LG,에듀테크","선생님,요즘,학생들,수학문제,카메라,플랫폼,수학,AI,학습,촬영시,스마트폰,AI,5초,풀이,내놔,언어,인식,이용자,670만,해외,KT,투자,구독제,출시,김서준,고등학교,김서준,가명,수학,공부,스마트폰,사진,애플리케이션,생성,인공,지능,AI,공부,선생님,편리,서비스,한국,교육,AI,세계,사교육,서비스,그동안,언어,장벽,한계,글로벌,진출,한계,AI,활용,극복,글로벌,고객,확보,정보,업계,플랫폼,AI,학습,월간활성사용자,MAU,800만,확보,130만,나머지,베트남,인도네시아,태국,이용자,차지,광학문자인식,OCR,활용,사진,촬영,AI,5초,풀이,제공,플랫폼,AI,학습,단계,풀이,힌트,제공,개별,학생,맞춤,설명,학습,방식,지원,AI,제시,추가,질문,능력,자기,주도,학습,공략,해외,고객,성공,경쟁력,학습,플랫폼,핵심,데이터,AI,활용,확보,2016년,축적,수학,데이터,2300만,이용,횟수,풀이,서비스,70억,문제풀이,AI,해결,데이터,데이터베이스,AI,학습,DB,활용,자연,서비스,독보적,OCR,수학,수식,언어,인식,역량,진출,글로벌,시장,무기,덕분,한국어,포함,영어,일본어,베트남어,인도네시아어,태국어,스페인어,포르투갈어,브라질어,서비스,유병우,AI,사업,이사,구글,OCR,활용,텍스트,인식,수식,인식,일반,텍스트,수식,구별,인식,방식,원천기술,확보,설명,서비스,초기,촬영,DB,구축,사용자,데이터,자동,축적,구조,이용자,초등학생,10%,,고등학생,45%,차지,학년,이용,비율,AI,서비스,문제풀,정확도,95%,콴다,가능성,주목,KT,2023년,개발사,매스프레소,100억,투자,서비스,포함,출시,구독,요금,제도,전폭적,지원,매스프레소,누적,가입자,서비스,단순,풀이,학생,선생님,학원,교육기관,연결,교육,플랫폼,발전,콴다,등록,선생님,11만,학생들,선생님,질문,대치동,사교육,서울,강남구,오프라인,학원,운영,자체,보유,수학,데이터,빈출,내신,대비,빈출,고난도,콘텐츠,제공,오프라인,학원,축적,교육,서비스,온라인,강의,전환,교육,콘텐츠,활용,언어,장벽,해소,글로벌,진출,가능,회사,설명,대규모,구축,수학,데이터,바탕,AI,예정,기업들,급성장,시장,글로벌,에듀테크,주목,출사표,삼일PwC경영연구원,세계,에듀테크,시장,규모,달러,1154조,전망,LG전자,한국교육방송공사,EBS,업무협약,MOU,체결,전자칠판,교육,스마트,디스플레이,LG,EBS,서비스,콘텐츠,플랫폼,탑재,교육,솔루션,사업,영역,확장,LG,전자,칠판,교육,콘텐츠,조작,칠판,영상,프레젠테이션,자료,전환,도형,도표,템플릿,화면,수업,진행","ai,이용자,사교육,수학문제,문제풀이,스마트폰,lg,콴다,김서준,고등학교,매스프레소,사용자,ocr,빈출,선생님,에듀테크","수학 AI학습 플랫폼 ‘콴다’ 
모르는 문제 스마트폰 촬영시 
AI가 5초만에 풀이과정 내놔 
 
9개국 언어도 빠르게 인식 
이용자 800만중 670만이 해외 
KT, 100억 투자 구독제 출시

고등학교 1학년 김서준 군(가명)은 수학을 공부하다 모르는 문제가 나타나면 스마트폰부터 찾는다. 모르는 문제 사진을 찍어 콴다 애플리케이션에 올리면 곧바로 ..",http://www.mk.co.kr/article/11252455,
2100851.20250219,20250219,아주경제,정연우,[비즈포커스] 학습지 '빅3' 차세대 에듀테크 선뵈...AI학습으로 승부수,사회>교육_시험, IT_과학>콘텐츠, IT_과학>과학,,,,"원만호,오프라","원천,한국","CES,교원,에듀테크연구소,대교,KReaD,웅진,CES 2025,에듀테크,웅진씽크빅,교육청","학습지,선뵈,차세대,에듀테크,AI학습,승부수,대교,고등학습,확대,시장,영역,수능,관리,교원,홈클래스,론칭,3월,웅진씽크빅,AI,독서,플랫폼,북스토리,주목,대교,써밋,수능,트레이닝,포스터,사진,대교,대교,웅진,교원,대표,빅3,학습지,업계,사업,방향,인공지능,AI,요약,AI,디지털,학습,수요,오프라인,방식,의존,교육,스타일,보완,학생,개개인,학업,성취,고객층,확대,의도,풀이,19일,대교,초등,중심,고등,학습,시장,영역,확대,수능트레이닝,대교,써밋,수능,트레이닝,대교,써밋,AI알고리즘,적용,프리미엄,디지털,학습,서비스,AI,학생,학습,수준,경로,맞춤,학습,제공,특징,수능트레이닝,대교,써밋,수능,트레이닝,수능,대비,학습,프로그램,수능,국어,영어,수학,학습,지원,수능국어트레이닝,대교,써밋,수능,국어,트레이닝,고등,문학,작품,비문학,수능,기출,활용,독해력,체계적,강화,대교,특허,크리드,KReaD,학습자,실력,진단,수능영어트레이닝,대교,써밋,독해력,향상,집중,요소,핵심,지문,난이,길이,소재,장르,문항,유형,속도,바탕,학습,진행,수능,영어,종합적,대비,수능수학트레이닝,대교,써밋,수능,수학,트레이닝,10년,수능,기출,평가원,교육청,모의고사,내신,문항,빈출,유형,집중,학습,설계,아이캔,아이클래스,실사,Ai,튜터,사진,교원,교원,3월,대상,초등,학년,학습지,과목,AI,아이캔두,1대,밀착관리,아이캔,교과,연계,학습,과목,예습,복습,가능,학습자,표정,음성,학습,행동,데이터,통합적,수집,수준,개인,학습,성향,코스,AI,맞춤,학습,추천,다음달,서비스,방문,수업,홈클래스,3월,시작,학생,AI,학습,지도,유아,초등,대상,선생,가정,회원,방문,20분,일대일,수업,진행,웅진,교육,계열사,웅진씽크빅,북스토리,AI,독서,플랫폼,CES,프로그램,CES,혁신,제품,이름,AI,평가,AI,득점,세계,최고,수상,영예,생성,AI,적용,세상,언어,웅진씽크빅,에듀테크,연구소,신설,500억,학습데이터,52건,업계,최다,에듀테크,특허,보유,DX사업본부장,원만호,웅진씽크빅,DX,사업,본부장,웅진씽크빅,솔루션,글로벌향,에듀테크,해외,주목,회사,오랫동안,원천,자사,혁신적,교육,포트폴리오,세계,각국,학습,니즈,만족,CES,참가자,웅진씽크빅,북스토리,관람,사진,웅진씽크빅","ai,웅진씽크빅,에듀테크,써밋,북스토리,학습지,학습자","대교 써밋수능트레이닝 포스터 [사진=대교]대교, 웅진, 교원 등으로 대표되는 학습지 업계 '빅3'의 올해 사업 방향은 인공지능(AI)으로 요약된다.  
 
AI기반 디지털 학습 수요가 늘어남에 따라 오프라인 방식에 의존했던 교육 스타일을 보완해 학생 개개인의 학업 성취도를 높이고 고객층을 확대하겠다는 의도로 풀이된다.  
 
19일 관련업계에 따르면 대..",https://www.ajunews.com/view/20250218105239382,
1200301.202502181,20250218,기호일보,김영훈,"광명시, 하안도서관 도서관 시민강좌와 게임창작소 강좌 운영",IT_과학>콘텐츠, IT_과학>모바일,,,,,,"하안도서관,시민강,광명시,광명시도서관","하안도서관,게임창작소","광명시,시민강좌,하안도서관,도서관,시민,강좌,운영,게임,창작소,강좌,광명시,하안도서관,6월,지역주민,지속적,계발,자기주,평생학습,장려,연령대,참여,도서관,시민,강좌,게임,창작소,강좌,운영,도서관,시민,강좌,마음,힐링,플러스,수채화,왕초보,회화,여행,영어,성인,대상,강좌,놀이,영어독서,수학,어린이,대상,강좌,운영,게임,창작소,강좌,코딩,게임,캐릭터,이모티콘,창작,성인,청소년,AI,대상,강좌,생성,자작곡,뮤비,코딩,게임,어린이,대상,강좌,진행,광명시,도서관,누리집,gmlib.gm.go.kr,참여자,선착순,신청,시민강좌,10시,게임,창작소,강좌,10시,신청,수강료,무료,재료비,개인,부담,교육,강좌,수업,일시,운영,회차,사항,공지사항,광명시,도서관,누리집,공지,사항,게시판,문화,행사,신청,확인","도서관,누리집,광명시,수채화,하안도서관,시민강좌,힐링,게시판,공지사항,자기주,평생학습,재료비,지역주민,연령대,참여자,자작곡,수강료,선착순,영어독서,창작소,ai","광명시 하안도서관은 오는 3 6월 지역주민에게 지속적인 자기 계발과 자기주도 평생학습을 장려하고자 다양한 연령대가 참여할 수 있는 도서관 시민강좌와 게임창작소 강좌를 운영한다. 도서관 시민강좌로는 ▶마음 힐링 플러스펜 수채화, 왕초보를 위한 여행 영어 회화 등 성인 대상 2개 강좌 ▶책 놀이, 영어독서, 창의 수학 등 어린이 대상 8개 강좌를 운영한다...",http://www.kihoilbo.co.kr/news/articleView.html?idxno=1132439,
7100501.202502161,20250216,전자신문,,"[에듀플러스]〈칼럼〉AI 교과서 채택, 맞춤형 교육을 위한 결정의 골든 타임이다",사회>교육_시험,,,,,,,"원천,하도","학교운영위원회,넷째,한국교육학술정보원","칼럼,AI,교과서,채택,맞춤,교육,결정,골든,타임,교과서,AI,디지털,영어,수학,정보,교과,초등학교,4학년,초등학교,3,,중학교,고등학교,대상,2025학년도,선택,학교,자율,사용,여부,결정,예정,2월,개학,학교별,AI,교과서,학교운영위원회,결정,진행,논의,채택,여부,결정,골든,타임,AI,교과서,공존,상황,의사결정,사항,제시,교육,분야,디지털,전환,선제,대응,생성,AI,등장,AI,활용,일상화,하루,발전,AI,활용,업무,효율,상황,최신,위험성,AI,교과서,적용,최신,적정,신뢰성,안심,상황,미래,인재,교육,디지털,배제,가능,맞춤,교육,노력,지속,학교,표준화,대량,교육,체제,운영,효율,관리,가능,개인,맞춤,학습,지원,부족,상황,우리나라,학교,학습,결손,사교육,해소,상황,지속,학생,능력,적성,학습,기회,제공,헌법,교육기본법,명시,공교육,책무,세계,학교,교육,맞춤,교육,노력,AI,교과서,유용,도구,수업,혁신,교사,AI,보조,교사,개념,이해,수준,개인별,확인,수업,활동,중심,효율적,관리,학습,성과,평가,피드백,도구,활용,교실,1명,교사,학생,대상,수업,개인,맞춤,교사,지원,교사,노력,성과,상황,AI,교과서,보조교사,역할,수행,AI,교과서,예상,부작용,철저,대비,학부모,디지털,과몰입,중독,디지털,도구,활용,수업,부작용,제기,개학,개학,디지털,도구,교육,활용,특별,교육,주간,운영,활용,디지털,도구,자기,조절,능력,필수적,저하,독서,활동,강화,해결,노력,예상,대비,체계적,준비,지원,학교,교사,노력,극복,AI,교과서,학교,선택,중요,시점,수영,사고,자전거,아이,성장,도움,안전,경험,지원,역량,교육,디지털,고도화,미래,사회,대비,아이들,디지털,역량,중요,학교,AI,교과서,선택,교사,학생,활용,아이들,6개월,1년,경험,차이,영향,인근,지역,학교,AI,교과서,활용,수업,진행,학교,원천적,차단,학교,AI,교과서,선택,활용,정도,자율성,교사,학생,학부모,이상적,모습,디지털,도구,활용,맞춤,교육,학교운영위원회,합리적,선택,정제영,한국교육학술,정보원장","ai,개인별,학교별,부작용,학부모,보조교사,중학교,정제영,고등학교,위원회,아이들,학교운영위원회,정보원장","AI 디지털 교과서가 2025년 3월부터 영어, 수학, 정보 교과에서 초등학교 3, 4학년, 중학교 1학년, 고등학교 1학년을 대상으로 도입된다. 2025학년도에 한하여 학교별 자율 선택으로 사용 여부가 결정될 예정이다. 2월은 개학을 앞두고 학교별로 AI 교과서의 도입과 관련해 학교운영위원회의 결정이 진행되고 있고, 다양한 논의를 통해 채택 여부를 결..",http://www.etnews.com/20250214000010,
1400101.202502161,20250216,충청타임즈,한권수 기자,대전 유성구 '아이 배움터' 구축 스마트 돌봄 선도,지역>대전, 사회>교육_시험, IT_과학>과학,,,,,"대전,유성구","진로,유성구,STEAM,아이 배움터,유성구청장","대전,유성구,아이,배움터,구축,스마트,선도,시설,개소,양뱡항,화상,교육,20개소,설치,AI,로봇,대전,유성구,아동,성장,발달,지원,유성아이,AI,배움터,구축,유성아이,AI,배움터,초등,방과,시설,스마트화,화상수업,AI,로봇,활용,교육,유성구,1월,센터,포함,36개소,초등,시설,개소,방향,화상,교육,구축,전문,강사,교육,제공,교육,프로그램,문해력,독서클럽,영어,원서,독서,클럽,미술,과학실험,STEAM,융합,교육,진로학습,구성,아동,학습,능력,창의력,향상,도모,생성,AI,인공지능,탑재,교육,놀이,로봇,시설,개소,설치,아동,로봇,대화,독서,활동,우리말,퀴즈,끝말잇기,체험,미래,교육,환경,조성,정용래,유성구청장,유성,AI,배움터,아이들,창의적,환경,학습,마련,지역,아동,강화,미래,역량,지역사회,디지털,전환,선도,대전","ai,유성,배움터,유성구,양뱡항,유성아이,36개소,20개소,steam,과학실험,끝말잇기,우리말,창의력,정용래,문해력,독서클럽,인공지능,유성구청장,지역사회,진로학습,화상수업,스마트화","대전 유성구가 아동의 성장과 발달을 지원하는 '유성아이(AI) 배움터'를 구축했다. 
 
 '유성아이(AI) 배움터'는 초등 방과 후 돌봄시설의 스마트화를 통해 화상수업 및 AI 로봇을 활용한 교육 시스템이다. 
 
 유성구는 지난 1월부터 다함께돌봄센터를 포함한 초등 돌봄시설 36개소에 양방향 화상교육 시스템을 구축하고 전문 강사를 통한 주3회 교육을..",http://www.cctimes.kr/news/articleView.html?idxno=831423,
2100801.202502141,20250214,아시아경제,영남취재본부 조충현,"부산교육청, '생성형 AI와 생각 질문하는 수업' 교수학습자료 보급",사회>교육_시험, IT_과학>과학, IT_과학>콘텐츠,,,,최윤홍,영남,"부산시교육청,부산교육청,에듀테크,교육감,교육감 권한대행","부산교육청,생성,AI,생각,질문,수업,교수,학습,자료,보급,교과,수업,평가,자료,교수,학습지도안,양식,구성,부산시교육청,교육감,권한,대행,최윤홍,생성,AI,생각,질문,수업,활성화,생성,AI,질문,수업,교수,학습,자료집,현장,활용,질문,교수,학습,과정안,양식,수업,참관록,홍보,포스터,14일,자료,10일,중학교,고등학교,보급,자료들,학년도,학년,준비,기간,교사,수업,평가,계획,수립,활용,생성,AI,생각,질문,수업,2024년,추진,질문,수업,생성,AI,에듀테크,디지털,요소,접목,확대,발전,수업모델,부산시교육청,추진,수업,혁신,방향,수업,모델,생성,AI,활용,질문,학생,맞춤,학생들,지속적,사고,몰입,개념,이해,응용,확장,설계,생성,AI,질문,수업,자료집,고등학교,교과,활용,교과,중학교,국어,영어,수학,사회,역사,도덕,과학,교과,고등학교,공통국어,공통영어,공통수학,통합사회,통합과학,수업,생성,AI,활용,질문,필요성,질문,유형,질문,수업,디자,방법,이론,6차,분량,교수,학습,과정안,평가,계획,예시,학교생활,기록부,기재,구성,자료집,질문,AI,활용,생각,표현,협력적,해결,개념학습,적용학습,융합,수업,모듈,적용,수업,단계,적합,질문,도입질문,핵심질문,정리질문,생성,AI,활용,토론,표현활동,실생활,실생활,발견,협력,해결,질문,연계,제시,특징,학교,현장,수업,공개,활용,질문,교수,학습,3종,지도안,양식,세안,약안,최신,수업,방향,구조화,2종,수업,참관록,생성,AI,생각,질문,수업,구체,실천,수업,개념,수업,모형,교사,수업,실천,1,,2,,홍보,포스터,보급,현장,활용,권한대행,최윤홍,교육감,권한,대행,생성,AI,생각,질문,수업,교수,학습,자료,보급,교사,학생,질문,사고,생성,AI,활용,탐구,변화,수업,모습,교육,시대,변화,학교,현장,목소리,반영,혁신,교실,수업,교사,신장,수업,전문,실질적,도움,교수,현장,중심,학습,자료,지속적,영남취재본부","자료집,고등학교,최윤홍,중학교,협력적,부산시교육청,참관록,과정안,실생활,교육감,ai","부산시교육청(교육감 권한대행 최윤홍)은 ‘생성형 AI와 함께 생각하고, 질문하는 수업’ 활성화를 위한 '생성형 AI, 질문 수업과 만나다' 교수학습 자료집과 현장에서 바로 활용할 수 있는 질문 기반 교수학습 과정안 및 수업 참관록 양식, 홍보 포스터 등을 개발했다고 14일 전했다. 
 
개발된 자료는 지난 10일 모든 중학교와 고등학교에 보급됐다. 이 ..",https://view.asiae.co.kr/article/2025021411112825965,
4100078.202502141,20250214,뉴스핌,남동현,"부산교육청, '생성형 AI와 함께 질문하는 수업' 교수-학습자료 개발 보급",사회>교육_시험, IT_과학>과학, IT_과학>콘텐츠,,,,최윤홍,,"부산시교육청,시교육청,부산교육청,에듀테크,교육감","부산교육청,생성,AI,질문,수업,교수,학습자료,보급,남동현,부산시교육청,생성,AI,생각,질문,수업,활성화,교수,학습,자료집,질문,교수,학습,과정안,양식,수업,참관록,홍보,포스터,14일,자료들,10일,중학교,고등학교,보급,학년도,학년,준비,기간,교사들,기간,교사,수업,평가,계획,수립,활용,생성,AI,생각,질문,수업,추진,질문,수업,생성,AI,에듀테크,디지털,요소,접목,확대,발전,수업모델,시교육청,추진,방향,수업,혁신,부산시교육청,생성,AI,생각,질문,수업,활성화,생성,AI,질문,수업,교수,학습,자료집,현장,활용,질문,교수,학습,과정안,양식,수업,참관록,홍보,포스터,사진,부산시교육청,전경,수업,모델,생성,AI,활용,질문,학생,맞춤,학생들,지속적,사고,몰입,개념,이해,응용,확장,설계,생성,AI,질문,수업,자료집,고등학교,교과,활용,교과,중학교,국어,영어,수학,사회,역사,도덕,과학,교과,고등학교,공통국어,공통영어,공통수학,통합사회,통합과학,수업,생성,AI,활용,질문,필요성,질문,유형,질문,수업,디자,방법,이론,6차,분량,교수,학습,과정안,평가,계획,예시,학교생활,기록부,기재,구성,자료집,질문,AI,활용,생각,표현,협력적,해결,개념학습,적용학습,융합,수업,모듈,적용,수업,단계,적합,질문,도입질문,핵심질문,정리질문,생성,AI,활용,토론,표현활동,실생활,실생활,발견,협력,해결,질문,연계,제시,특징,학교,현장,수업,공개,활용,질문,교수,학습,3종,지도안,양식,세안,약안,최신,수업,방향,구조화,2종,수업,참관록,생성,AI,생각,질문,수업,구체,실천,수업,개념,수업,모형,교사,수업,실천,1,,2,,홍보,포스터,보급,현장,활용,권한대행,최윤홍,교육감,권한,대행,교수,학습,자료,보급,교사,학생,질문,사고,생성,AI,활용,탐구,변화,수업,모습,혁신,교실,수업,교사,신장,수업,전문,실질적,도움,교수,현장,중심,학습,자료","자료집,고등학교,중학교,협력적,부산시교육청,참관록,과정안,실생활,ai,교육감","[부산=뉴스핌] 남동현 기자 = 부산시교육청은 '생성형 AI와 함께 생각하고, 질문하는 수업' 활성화를 위한 교수학습 자료집과 질문 기반 교수학습 과정안 및 수업 참관록 양식, 홍보 포스터 등을 개발했다고 14일 밝혔다. 
 

 자료들는 지난 10일 모든 중학교와 고등학교에 보급됐다. '2025학년도 새학년 함께 준비하는 달' 기간 동안 교사들이 수업..",https://www.newspim.com/news/view/20250214000227,
2100311.202502121,20250212,서울경제,정혜진 기자,"대학생 수학 평균 점수 26점 높인 프리윌린, 고려대로도 확장",사회>교육_시험, IT_과학>콘텐츠,,,,,,한국,"고려대,국민대,연세대,숭실대,프리윌린,건국대,에듀테크,고려대학교,서강대","26점,대학,수학,평균,점수,프리,고려대,확장,프리윌린,체결,고려대,MOU,프리윌린,에듀테크,기업,대학생,강화,기초,학력,프리윌린,고려대학교,신입생,재학생,강화,기초,학력,AI,코스웨어,업무협약,MOU,체결,협약,기관,생성,인공,지능,AI,활용,학습,지원,고도화,학생,개개인,수준,학습,스타일,최적화,맞춤,교육,제공,대학,교육,디지털,혁신,가속,계획,프리윌린,고려대학교,신입,재학생,대상,수학,과학,영어,기초,학력,진단,평가,학습,서비스,제공,전공자율선택제,무전공,입학생,맞춤,교육,지원,역량,전공,필수,효과적,습득,AI,코스웨어,대학,수업,학습,효과,극대화,예정,고려대학교,풀리캠퍼스,AI,코스웨어,풀리,캠퍼스,활용,기초,학력,향상,프로그램,4년,운영,AI,학습,솔루션,단계적,확대,예정,내년,풀리캠퍼스,다국어,AI,코스웨어,서비스,대학,외국인,재외,국민,학생,원활,적응,대학,생활,학업,지원,강화,예정,풀리캠퍼스,AI,코스웨어,학습,콘텐츠,한국어,언어,제공,언어,학생,효과적,학습,환경,마련,역량,한국어,학습,기관,대학,교육,전공,맞춤,AI,코스웨어,학업,성취,공동,추진,AI,학습,활용,고등,교육,효과성,극대화,절감,운영,비용,가능,효율적,학습,인프라,구축,예정,고려대학교,교수진,프리윌린,콘텐츠,협력,풀리,캠퍼스,교육,콘텐츠,확대,교수,학생들,AI,코스웨어,효과적,활용,적극,지원,방침,프리윌린,풀리캠퍼스,연세대,서강대,건국대,국민대,숭실대,대학,전국,코스웨어,대학,교육,전문,AI,대표,서비스,기초,학력,진단,평가,출시,누적,응시자,17만,학습,효과,결과,경험,신입생,재학생,점수,수학,평균,26점,상승,응시자,90%,향상,경험","ai,프리윌린,코스웨어,풀리캠퍼스,학생들,고려대학교,한국어,고려대,26점,응시자","에듀테크 기업 프리윌린이 대학생의 기초 학력 강화를 위해 나선다. 
 

 12일 프리윌린은 고려대학교와 ‘신입생과 재학생의 기초 학력 강화와 AI 코스웨어 개발을 위한 업무협약(MOU)’을 체결했다고 이 같이 밝혔다. 이번 협약을 통해 양 기관은 생성형 인공지능(AI)을 활용한 학습 지원 시스템을 고도화하고, 학생 개개인의 수준과 학습 스타일에 최적화..",http://www.sedaily.com/NewsView/2GOXVKIU86,
