,BERT_Topic_0,BERT_Topic_1,BERT_Topic_2,BERT_Topic_3,BERT_Topic_4,BERT_Topic_5,BERT_Topic_6,BERT_Topic_7,BERT_Topic_8,BERT_Topic_9,BERT_Topic_10,BERT_Topic_11,BERT_Topic_12,BERT_Topic_13,BERT_Topic_14,BERT_Topic_15,BERT_Topic_16
가격,0.14142221,0.15558647,0.080379546,0.15053296,0.14715654,0.17721221,0.2315327,0.11343215,0.11862574,0.049366675,0.09299547,0.09996845,0.08357469,0.037997458,0.085731246,0.1091117,0.04930578
가공,0.4338606,0.41913396,0.34692806,0.49712008,0.35395116,0.34792173,0.30115354,0.44587207,0.42507997,0.36301517,0.31277016,0.3299496,0.37824667,0.3208987,0.3022767,0.39082193,0.25929523
가구,0.08751891,0.0721097,0.07775923,0.058951233,0.15116271,0.12577476,0.0015717763,0.05723834,0.050947096,0.051677153,0.11208787,0.09036778,0.04174433,0.08856116,0.028610326,0.065818205,0.074075036
가늠,0.44332415,0.4226104,0.36213982,0.523029,0.3818899,0.31251934,0.3003043,0.45410842,0.43892407,0.3863397,0.31433892,0.3221466,0.39911824,0.31512657,0.35446855,0.40382624,0.26540273
가능,0.36828923,0.36599153,0.28975058,0.3734116,0.34357542,0.3320161,0.27354234,0.38583785,0.3602675,0.27769434,0.31209946,0.27442336,0.35103488,0.24775341,0.32293236,0.34721565,0.2314341
가능성,0.34029305,0.35828596,0.27072746,0.3189518,0.32064712,0.28897047,0.24654892,0.32760635,0.32524577,0.2623388,0.29834914,0.28606296,0.25543723,0.22532423,0.24880852,0.31775305,0.15488672
가량,0.4283526,0.40304655,0.34348917,0.5316316,0.35110232,0.31700987,0.34923744,0.4495054,0.43581283,0.3718903,0.28634813,0.28786182,0.40489376,0.29309598,0.37398145,0.38420445,0.24410579
가명,0.42576498,0.4099192,0.35559607,0.48396993,0.36741233,0.2967571,0.28086007,0.43553886,0.42103612,0.3575719,0.30818006,0.3118455,0.38082534,0.29668754,0.32081655,0.38301706,0.25933117
가사,0.497679,0.45764783,0.39999086,0.6510961,0.40859458,0.32699174,0.31756115,0.5318773,0.5165212,0.45027313,0.31413323,0.3432226,0.5017987,0.37145245,0.49478433,0.4721218,0.29199418
가상,0.43227896,0.41715926,0.35571212,0.42573732,0.42610902,0.36067438,0.28299022,0.45014137,0.38636562,0.31299147,0.37703526,0.33070782,0.37539566,0.2957902,0.3163801,0.3920092,0.31193805
