,LDA_Topic_0,LDA_Topic_1,LDA_Topic_2,LDA_Topic_3,LDA_Topic_4,LDA_Topic_5,LDA_Topic_6,LDA_Topic_7,LDA_Topic_8,LDA_Topic_9,LDA_Topic_10,LDA_Topic_11,LDA_Topic_12,LDA_Topic_13,LDA_Topic_14,LDA_Topic_15,LDA_Topic_16,LDA_Topic_17,LDA_Topic_18,LDA_Topic_19,LDA_Topic_20,LDA_Topic_21,LDA_Topic_22,LDA_Topic_23,LDA_Topic_24,LDA_Topic_25,LDA_Topic_26
개개인,5.8815795e-06,3.5206726e-06,1.0394795e-05,6.626375e-05,2.2301281e-05,0.00010996692,6.5981003e-06,4.9417285e-06,0.0011229977,0.00014902807,0.0002434955,0.0011766448,0.00017361401,1.17980835e-05,8.390696e-06,1.1032745e-05,0.0011792489,0.00021321233,7.4241775e-06,1.264872e-05,0.0005744251,0.00017453752,9.803668e-06,2.6195274e-05,0.0005260621,6.9716676e-05,3.8596827e-05
개정,5.431771e-06,3.1992884e-06,9.726212e-06,8.859256e-06,3.2962897e-05,0.001174395,7.663932e-06,5.0521467e-06,0.0011123222,0.0003071945,0.0003288501,1.3474431e-05,2.8347245e-05,8.465735e-06,0.0027110702,0.02045814,0.00018458877,6.7095e-06,6.7134715e-06,1.3629648e-05,0.0009970184,0.00028837944,0.0005829055,1.7809434e-05,0.00045848274,1.3153816e-05,3.8252412e-05
검토,0.00092109264,0.00023254767,1.3635627e-05,0.00010872076,0.001256192,0.0008875174,0.00032759356,0.0010661187,0.0033524213,0.0003116756,3.1429787e-05,0.00023374762,1.8896646e-05,0.0015984296,1.2562222e-05,0.0016768648,0.0005312393,0.00039530528,2.5808273e-05,4.9453265e-05,0.00037307618,0.00066671165,1.2138846e-05,1.9345196e-05,0.00046485162,0.00062833633,4.4732315e-05
경험,0.0009370826,0.0012492453,0.0036543782,0.0029607497,0.0029590547,0.004042891,0.0021930896,0.0024967839,0.00025283123,0.001764015,0.0017001848,0.002416144,0.0013910363,0.001987977,0.0075024143,0.00040767106,0.0025397579,0.0019012478,0.009241308,0.0055755544,0.0023001162,0.0010618846,0.0039134263,0.004051397,0.0044514276,0.00361438,9.549977e-05
계획,0.0010142963,0.0009922573,0.012323421,0.0069925906,0.0025403567,0.0061710505,0.0003896729,0.0064338255,0.0026320217,0.0030903162,0.0010759379,0.00410924,0.0111378245,0.0038750723,0.0068175034,7.548913e-05,0.0029735772,0.0016494711,0.0019291433,0.013026593,0.0035424987,0.0070008277,0.0038485774,0.0056274813,0.0017266165,0.012551815,0.00011738263
고등학생,4.5581387e-06,0.00028508808,6.4654882e-06,7.1879585e-06,1.9443805e-05,0.0013365719,0.00016412442,4.6062487e-06,1.3857454e-05,9.332361e-06,0.0011922598,1.3503275e-05,1.1431211e-05,0.00025740016,8.692703e-06,1.1659702e-05,4.0746974e-05,4.6643945e-06,8.280862e-06,1.1263448e-05,0.00027681718,4.1768308e-06,0.0005641634,0.00027045427,6.835317e-06,4.0284963e-06,4.1213214e-05
공유,0.00023716636,0.00029137573,0.00090553105,0.0021408373,0.0020518226,0.00011874422,0.0011466225,0.000397472,0.00020368368,0.005940757,0.0003043637,0.0003754759,0.00016843516,0.0018975172,0.0010722332,0.0067732516,0.00033563122,0.0009297606,2.2674216e-05,0.0014654462,0.0048818053,0.0026315616,0.003074779,0.001532472,0.002753338,0.0004902243,9.807323e-05
과학,0.00043362207,0.002004647,0.00035550157,0.0029359905,0.00012812854,3.160284e-05,0.0013570897,2.0279303e-05,0.0015367442,0.0021783751,0.003122071,0.0014363733,0.000106420535,0.0003642684,0.0027544447,0.01060872,0.0022701023,0.00056923926,0.0002582551,0.00013081505,0.0022493703,0.0014180604,0.00012716114,0.0013177106,0.00037784502,0.000120699406,0.0034731103
교과,7.3993147e-06,1.3191522e-05,0.00018208646,3.6558955e-05,4.1788015e-05,4.003886e-05,2.3092483e-05,2.3376426e-05,0.0066661458,0.0022090187,0.0010671047,2.1116979e-05,3.89272e-05,5.522462e-05,0.0040956284,0.021287415,0.0029285897,4.967898e-06,1.056951e-05,0.00016387895,0.005598391,1.6345175e-05,0.00781437,8.958013e-05,5.8017544e-05,0.0007891455,0.0010920867
교과서,2.5293928e-05,3.7275542e-05,0.00016462528,0.00021164327,6.514717e-05,0.0001717916,0.00028371465,0.0003372474,0.08507303,0.0006515129,0.0010231315,0.00010213832,0.00016057953,3.8217026e-05,1.1135846e-05,5.2498533e-05,0.009394084,1.3931375e-05,6.4722044e-05,7.8413956e-05,0.00401907,0.002018744,0.008531052,0.00035458952,0.00014225845,0.00041597552,0.0032190315
